Date,Open,High,Low,Close,Adj Close,Volume
2018-10-01,25.799999,25.98,25.530001000000002,25.6,25.001904,8571800
2018-10-02,25.6,26.15,25.6,26.08,25.47069,14379900
2018-10-03,26.200001,26.34,25.969998999999998,26.059998999999998,25.451157000000002,8714400
2018-10-04,26.889999,27.08,26.219998999999998,26.42,25.802746,12955500
2018-10-05,26.27,26.43,25.219998999999998,25.34,24.74798,15682400
2018-10-08,25.190001000000002,25.35,24.940001000000002,25.01,24.425688,11520200
2018-10-09,24.870001000000002,25.120001000000002,24.75,24.969998999999998,24.386620999999998,9625500
2018-10-10,24.809998999999998,25.0,24.219998999999998,24.26,23.693210999999998,14230000
2018-10-11,24.07,24.139999,22.84,23.01,22.472414,18005500
2018-10-12,23.459999,23.76,23.27,23.67,23.116995000000003,12284500
2018-10-15,23.620001000000002,23.85,23.540001,23.559998999999998,23.009565,9107900
2018-10-16,23.77,23.98,23.559998999999998,23.959999,23.400217,8101400
2018-10-17,24.030001000000002,24.129998999999998,23.6,23.870001000000002,23.312323000000003,7839200
2018-10-18,23.809998999999998,24.09,23.540001,23.77,23.214659,7205500
2018-10-19,23.870001000000002,24.25,23.65,23.84,23.283022,11827000
2018-10-22,24.0,24.43,23.950001,24.110001,23.546717,10434900
2018-10-23,23.610001,24.129998999999998,23.26,23.940001000000002,23.380688,9621900
2018-10-24,23.969998999999998,24.040001,23.02,23.059998999999998,22.521245999999998,11420600
2018-10-25,23.280001000000002,24.059998999999998,23.27,23.790001,23.234192,11226200
2018-10-26,23.309998999999998,23.629998999999998,22.85,23.129998999999998,22.589609,12369400
2018-10-29,23.48,23.719998999999998,22.700001,23.02,22.482182,9897300
2018-10-30,23.07,23.700001,22.98,23.67,23.116995000000003,9440800
2018-10-31,23.84,24.370001000000002,23.780001000000002,24.139999,23.576014,9992200
2018-11-01,24.24,24.5,23.98,24.49,23.917837,7361500
2018-11-02,24.360001,24.83,24.299999,24.629998999999998,24.054567000000002,11792200
2018-11-05,24.629998999999998,24.77,24.42,24.639999,24.064332999999998,7039000
2018-11-06,24.59,24.879998999999998,24.530001000000002,24.879998999999998,24.298725,6444500
2018-11-07,25.08,25.51,24.66,25.469998999999998,24.874941,8228400
2018-11-08,25.42,25.719998999999998,25.370001000000002,25.5,24.904242,7545700
2018-11-09,25.360001,25.49,24.76,25.0,24.415922,7125800
2018-11-12,24.77,24.860001,23.940001000000002,23.99,23.429517999999998,7794700
2018-11-13,23.99,24.33,23.780001000000002,23.950001,23.390455,7820600
2018-11-14,24.26,24.42,23.690001000000002,23.73,23.175594,9949500
2018-11-15,23.549999,24.43,23.42,24.17,23.605314,10585800
2018-11-16,23.99,24.370001000000002,23.959999,24.16,23.595547,8672100
2018-11-19,24.09,24.17,23.309998999999998,23.549999,22.999798000000002,10002900
2018-11-20,23.07,23.120001000000002,22.469998999999998,22.610001,22.08176,10786900
2018-11-21,22.77,23.08,22.66,22.66,22.130592,8218100
2018-11-23,22.389999,22.76,22.27,22.51,21.984097,3909000
2018-11-26,22.85,22.92,22.48,22.809998999999998,22.277085999999997,10845700
2018-11-27,22.629998999999998,22.77,22.469998999999998,22.73,22.198957,10173900
2018-11-28,22.799999,23.440001000000002,22.610001,23.43,22.882603,9003500
2018-11-29,23.290001,23.290001,22.66,22.860001,22.32592,17342500
2018-11-30,23.219998999999998,23.24,22.42,23.0,22.462648,19163100
2018-12-03,23.4,24.02,23.4,23.950001,23.390455,13177200
2018-12-04,23.889999,24.17,23.040001,23.24,22.697042,15220600
2018-12-06,22.76,24.09,22.700001,24.02,23.458818,19873600
2018-12-07,23.9,23.91,22.629998999999998,22.93,22.394282999999998,17395300
2018-12-10,22.799999,23.059998999999998,22.309998999999998,22.93,22.394282999999998,13111500
2018-12-11,23.1,23.4,22.389999,22.549999,22.023160999999998,13064900
2018-12-12,22.700001,22.99,22.52,22.549999,22.18054,10202000
2018-12-13,22.629998999999998,22.91,22.26,22.290001,21.924801000000002,11356800
2018-12-14,22.08,22.440001000000002,21.940001000000002,22.01,21.649389000000003,11959500
2018-12-17,21.9,22.280001000000002,21.290001,21.42,21.069054,11680600
2018-12-18,21.6,21.92,21.370001000000002,21.41,21.059217,11889400
2018-12-19,21.459999,21.629998999999998,20.34,20.549999,20.213306,18164000
2018-12-20,20.51,20.639999,19.82,20.07,19.741173,16294900
2018-12-21,19.98,20.379998999999998,19.629998999999998,19.65,19.328053,21153900
2018-12-24,19.4,19.889999,19.32,19.379998999999998,19.062476999999998,6326300
